"Allele","#Ears","#IncLin","#DecLin","#TrueQuad","#NoPattern","%IncLin","%DecLin","%TrueQuad","%NoPattern","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R01G01",8,0,0,0,8,0,0,0,1,0.735132459024896,NA,0.421979561982127,NA,0.865106270564428,NA,0.503700818075575,0.503191489361702,FALSE,FALSE,0.891515945735184
"R02D02",8,0,0,0,8,0,0,0,1,0.506644131492246,NA,0.761422738203573,NA,0.41321944609538,NA,0.508064516129032,0.517761394101877,FALSE,FALSE,0.246378263961152
"R04A02",10,1,2,0,7,0.1,0.2,0,0.7,0.464943393862632,NA,0.126559052739427,NA,0.444007139096928,NA,0.526725304465494,0.529284164859002,FALSE,TRUE,0.0196572130355518
"R04G10",8,3,0,0,5,0.38,0,0,0.62,0.00279336113405602,NA,0.991898172544315,NA,0.32266276611402,NA,0.515657009072286,0.518646776771444,FALSE,FALSE,0.154545515440188
"R06C04",10,2,0,0,8,0.2,0,0,0.8,0.0103394733463844,NA,0.969599234918051,NA,0.11798394652428,NA,0.506194690265487,0.505957836846929,FALSE,FALSE,0.682957218491529
"R08A07",5,0,0,0,5,0,0,0,1,0.397414421337207,NA,0.579473302207374,NA,0.442521001329668,NA,0.496615384615385,0.497745208568207,FALSE,FALSE,0.949323979671981
"R101B03",8,0,0,0,8,0,0,0,1,0.877970215367122,NA,0.374714090410397,NA,0.746271155606485,NA,0.488418266048974,0.489703210175651,FALSE,FALSE,0.49791267909082
"R102H01",19,2,0,1,16,0.11,0,0.05,0.84,0.663227397882701,NA,0.55665442027397,NA,0.422528177420516,NA,0.506363760777337,0.510044642857143,FALSE,FALSE,0.270633674110485
"R103E04",11,2,1,0,8,0.18,0.09,0,0.73,0.0571981983575896,NA,0.629578180378288,NA,0.188502612654904,NA,0.504139834406624,0.50335852225021,FALSE,FALSE,0.844782286005347
"R106E07",7,0,1,1,5,0,0.14,0.14,0.71,0.797396266922363,NA,0.264112172908792,NA,0.00728494895973328,NA,0.506012950971323,0.512493059411438,FALSE,FALSE,0.382304807358986
"R106F04",7,0,0,0,7,0,0,0,1,0.73824554337537,NA,0.313445267588544,NA,0.476798580965041,NA,0.496977547495682,0.50019801980198,FALSE,FALSE,0.999999999999996
"R106G12",10,0,0,1,9,0,0,0.1,0.9,0.494469478873493,NA,0.644596602342357,NA,0.213987483851309,NA,0.502912621359223,0.504161412358134,FALSE,FALSE,0.834852446673505
"R107C12",11,1,1,0,9,0.09,0.09,0,0.82,0.207545280932282,NA,0.271204030320779,NA,0.0266663121245595,NA,0.513066666666667,0.513441511261807,FALSE,FALSE,0.299755590556732
"R12H07",5,1,0,0,4,0.2,0,0,0.8,0.204450850398069,NA,0.795263533669964,NA,0.585191595996332,NA,0.492211838006231,0.493950177935943,FALSE,FALSE,0.844782286005347
"R23D05",8,0,0,0,8,0,0,0,1,0.332894562744437,NA,0.834765298871356,NA,0.364854766854029,NA,0.511390051139005,0.509393680614859,FALSE,FALSE,0.611443270836789
"R24D03",11,1,0,0,10,0.09,0,0,0.91,0.237479311190809,NA,0.887956763389405,NA,0.803624220618837,NA,0.529793843547021,0.532659409020218,FALSE,TRUE,0.00335520570963865
"R26G07",12,0,0,0,12,0,0,0,1,0.577012842897051,NA,0.591954700976106,NA,0.755628215328752,NA,0.500481000481001,0.504877520052027,FALSE,FALSE,0.743350229422116
"R27E01",9,0,1,0,8,0,0.11,0,0.89,0.360723550903428,NA,0.23015614519273,NA,0.402020819300458,NA,0.516030956329464,0.517102615694165,FALSE,FALSE,0.159966559662812
"R31B01",7,1,0,0,6,0.14,0,0,0.86,0.110339383942446,NA,0.876238757821006,NA,0.595679410595538,NA,0.504738360115369,0.508184240578607,FALSE,FALSE,0.655892699710179
"R31H05",5,0,1,0,4,0,0.2,0,0.8,0.264839003175538,NA,0.0216858080802055,NA,0.0102287787033523,NA,0.517045454545455,0.51651809124279,FALSE,FALSE,0.388491960464746
"R32B05",6,0,0,0,6,0,0,0,1,0.120521645421856,NA,0.985349900371678,NA,0.902164963362196,NA,0.494741270509045,0.5021113243762,FALSE,FALSE,0.949323979671981
"R33F03",8,1,0,0,7,0.12,0,0,0.88,0.301264399461387,NA,0.788538046571759,NA,0.843013697684363,NA,0.5,0.50251677852349,FALSE,FALSE,0.949323979671981
"R34C11",9,1,0,2,6,0.11,0,0.22,0.67,0.0453190061613826,NA,0.987986697451186,NA,0.0258068670901887,NA,0.51892635925671,0.522480620155039,FALSE,FALSE,0.0845361518945274
"R35A08",10,1,0,0,9,0.1,0,0,0.9,0.337243514795406,NA,0.700549482515388,NA,0.298217069690854,NA,0.499240890688259,0.5,FALSE,FALSE,0.999999999999996
"R37A04",10,0,0,0,10,0,0,0,1,0.802105928192578,NA,0.680270320865612,NA,0.935640479205806,NA,0.510935318752908,0.513662359669562,FALSE,FALSE,0.263447509783135
"R41F01",7,2,0,0,5,0.29,0,0,0.71,0.0357245823050908,NA,0.750220093953729,NA,0.252385751151372,NA,0.505473025801407,0.509967379485321,FALSE,FALSE,0.545261112731875
"R44E07",6,0,0,0,6,0,0,0,1,0.614333837609033,NA,0.257768441344246,NA,0.348338265580321,NA,0.513167795334838,0.512495720643615,FALSE,FALSE,0.422268742458339
"R45E04",7,1,1,0,5,0.14,0.14,0,0.71,0.171231344271237,NA,0.0806386924598909,NA,0.0424265196543627,NA,0.509632860777899,0.514380165289256,FALSE,FALSE,0.342421539667563
"R46C04",7,0,0,0,7,0,0,0,1,0.32865975655438,NA,0.777202266430997,NA,0.879129766736404,NA,0.511581469648562,0.515937731653076,FALSE,FALSE,0.310987546915163
"R49F11",9,0,0,0,9,0,0,0,1,0.905200340485037,NA,0.299265313549919,NA,0.901084770365753,NA,0.503643252696007,0.508959614870286,FALSE,FALSE,0.521890965597308
"R52B09",9,0,0,2,7,0,0,0.22,0.78,0.716277754247934,NA,0.276154933113428,NA,0.0342393988219867,NA,0.510598834128246,0.514278799612778,FALSE,FALSE,0.269570466270197
"R52E07",8,0,0,0,8,0,0,0,1,0.440881436137468,NA,0.700722431417232,NA,0.892334410505686,NA,0.494783433449257,0.501157407407407,FALSE,FALSE,0.977276043264893
"R53C03",10,0,0,0,10,0,0,0,1,0.411235559268974,NA,0.67850471131063,NA,0.783886856758611,NA,0.490346307079375,0.5,FALSE,FALSE,0.999999999999996
"R60D10",6,0,0,0,6,0,0,0,1,0.605901961513589,NA,0.819064936136159,NA,0.994764875689704,NA,0.523129921259842,0.528859060402685,FALSE,FALSE,0.0745226287665251
"R63F09",8,1,0,0,7,0.12,0,0,0.88,0.281015460443851,NA,0.375099676251007,NA,0.426060790541376,NA,0.512580877066858,0.512291052114061,FALSE,FALSE,0.422268742458339
"R65A10",11,2,1,0,8,0.18,0.09,0,0.73,0.077587701093818,NA,0.855067265634152,NA,0.30250431331744,NA,0.515590473852197,0.516208914903197,FALSE,FALSE,0.159966559662812
"R65E02",7,0,0,0,7,0,0,0,1,0.701271786420325,NA,0.164594475127522,NA,0.39341081926672,NA,0.510660980810235,0.511672529581068,FALSE,FALSE,0.439657476486354
"R67C09",10,0,0,0,10,0,0,0,1,0.408347372215824,NA,0.623645472200823,NA,0.294990547640956,NA,0.519282511210762,0.517954298150163,FALSE,FALSE,0.159966559662812
"R69C04",7,0,0,0,7,0,0,0,1,0.805917620324659,NA,0.59614708319956,NA,0.722262376191241,NA,0.501653803748622,0.510545698024774,FALSE,FALSE,0.49791267909082
"R72D11",7,2,0,0,5,0.29,0,0,0.71,0.0186173747921698,NA,0.97849755744259,NA,0.503696588464962,NA,0.492040520984081,0.495921696574225,FALSE,FALSE,0.844782286005347
"R77F09",9,1,0,0,8,0.11,0,0,0.89,0.477411065703342,NA,0.651162637728749,NA,0.681899701329049,NA,0.520841156590312,0.526442307692308,FALSE,FALSE,0.0699061860105951
"R81E02",12,1,0,0,11,0.08,0,0,0.92,0.120993220597436,NA,0.937015940773429,NA,0.446390088543786,NA,0.481853281853282,0.487276154571159,FALSE,FALSE,0.310987546915163
"R81G05",7,1,0,1,5,0.14,0,0.14,0.71,0.372741059953994,NA,0.652321606433469,NA,0.14361324120719,NA,0.495921696574225,0.496659242761693,FALSE,FALSE,0.891515945735184
