"Allele","#Ears","#IncLin","#DecLin","#TrueQuad","#NoTrend","%IncLin","%DecLin","%TrueQuad","%NoTrend","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R01G01",11,0,2,0,9,0,0.18,0,0.82,0.975671930262479,FALSE,0.0601418846470272,FALSE,0.622528372699579,FALSE,0.495500264690312,0.493704600484262,FALSE,FALSE,0.947440559331344
"R02D02",9,1,0,2,6,0.11,0,0.22,0.67,0.0756999954237723,FALSE,0.744140003673505,FALSE,0.0785854733120948,FALSE,0.491044271713417,0.490914690483523,FALSE,FALSE,0.886701936578647
"R04A02",22,1,0,0,21,0.05,0,0,0.95,0.277637393790156,FALSE,0.951135864475333,FALSE,0.956800871926753,FALSE,0.442593111173341,0.442004291303799,TRUE,FALSE,4.82773955834404e-07
"R04G10",10,0,0,1,9,0,0,0.1,0.9,0.525358642297431,FALSE,0.754865108120164,FALSE,0.386095449495399,FALSE,0.49654409731822,0.499241658240647,FALSE,FALSE,0.984992971701402
"R06C04",20,3,0,1,16,0.15,0,0.05,0.8,0.00912786636491199,FALSE,0.973505893481338,FALSE,0.135323963613559,FALSE,0.490168340642241,0.491744066047472,FALSE,FALSE,0.886701936578647
"R08A07",8,0,1,0,7,0,0.12,0,0.88,0.519600060532685,FALSE,0.127587475344476,FALSE,0.378301554211235,FALSE,0.497123519458545,0.499687890137328,FALSE,FALSE,0.984992971701402
"R101B03",9,0,0,0,9,0,0,0,1,0.648918763575033,FALSE,0.726800124692378,FALSE,0.897730423487946,FALSE,0.490148634635327,0.486154814348647,FALSE,FALSE,0.886701936578647
"R102H01",30,14,0,0,16,0.47,0,0,0.53,1.4688287573263e-18,TRUE,0.999999983026306,FALSE,1.3160651483188e-10,TRUE,0.401146441704521,0.402066929133858,TRUE,FALSE,0
"R103E04",17,2,1,0,14,0.12,0.06,0,0.82,0.267870937086745,FALSE,0.228053356396762,FALSE,0.16860996935597,FALSE,0.489701763058164,0.489930868650436,FALSE,FALSE,0.886701936578647
"R106E07",7,1,0,0,6,0.14,0,0,0.86,0.10062964250945,FALSE,0.911385376703146,FALSE,0.419191514834245,FALSE,0.479461058166283,0.479135839005623,FALSE,FALSE,0.713166167356369
"R106F04",9,0,0,0,9,0,0,0,1,0.759166995910673,FALSE,0.437213996549278,FALSE,0.880660742867864,FALSE,0.486212914485166,0.487025316455696,FALSE,FALSE,0.886701936578647
"R106G12",7,0,0,0,7,0,0,0,1,0.121403387040674,FALSE,0.953845587965216,FALSE,0.842197685940977,FALSE,0.514189693801344,0.511896668932699,FALSE,FALSE,0.886701936578647
"R107C12",21,1,2,0,18,0.05,0.1,0,0.86,0.412010355630543,FALSE,0.115987784598589,FALSE,0.354801381211633,FALSE,0.490055472872412,0.492562999385372,FALSE,FALSE,0.886701936578647
"R12H07",7,0,1,0,6,0,0.14,0,0.86,0.801940332784345,FALSE,0.204712990245738,FALSE,0.440114665225816,FALSE,0.498928418345478,0.498025276461295,FALSE,FALSE,0.984992971701402
"R23D05",11,1,0,1,9,0.09,0,0.09,0.82,0.60418000067262,FALSE,0.455122371158185,FALSE,0.104309211998908,FALSE,0.500875218804701,0.500803673938003,FALSE,FALSE,0.984992971701402
"R24D03",9,0,1,0,8,0,0.11,0,0.89,0.925780709770235,FALSE,0.236041368156472,FALSE,0.634212460816074,FALSE,0.50500200080032,0.50764192139738,FALSE,FALSE,0.947440559331344
"R26G07",14,0,1,1,12,0,0.07,0.07,0.86,0.937056230796982,FALSE,0.286256967720442,FALSE,0.707395467298393,FALSE,0.504473363155754,0.504259259259259,FALSE,FALSE,0.984992971701402
"R27E01",10,1,2,0,7,0.1,0.2,0,0.7,0.573084573963204,FALSE,0.0447386675518323,FALSE,0.157530516997018,FALSE,0.498781973203411,0.49890590809628,FALSE,FALSE,0.984992971701402
