"Allele"	"Count"	"Increasing Linear"	"Decreasing Linear"	"Quadratic"	"Transmission Rate"
"R01G01"	11	0.975671930262479	0.0601418846470272	0.622528372699579	0.495500264690312
"R02D02"	9	0.0756999954237723	0.744140003673505	0.0785854733120948	0.491044271713417
"R04A02"	22	0.277637393790156	0.951135864475333	0.956800871926753	0.442593111173341
"R04G10"	10	0.525358642297431	0.754865108120164	0.386095449495399	0.49654409731822
"R06C04"	20	0.00912786636491199	0.973505893481338	0.135323963613559	0.490168340642241
"R08A07"	8	0.519600060532685	0.127587475344476	0.378301554211235	0.497123519458545
"R101B03"	9	0.648918763575033	0.726800124692378	0.897730423487946	0.490148634635327
"R102H01"	30	1.4688287573263e-18	0.999999983026306	1.3160651483188e-10	0.401146441704521
"R103E04"	17	0.267870937086745	0.228053356396762	0.16860996935597	0.489701763058164
"R106E07"	7	0.10062964250945	0.911385376703146	0.419191514834245	0.479461058166283
"R106F04"	9	0.759166995910673	0.437213996549278	0.880660742867864	0.486212914485166
"R106G12"	7	0.121403387040674	0.953845587965216	0.842197685940977	0.514189693801344
"R107C12"	21	0.412010355630543	0.115987784598589	0.354801381211633	0.490055472872412
"R12H07"	7	0.801940332784345	0.204712990245738	0.440114665225816	0.498928418345478
"R23D05"	11	0.60418000067262	0.455122371158185	0.104309211998908	0.500875218804701
"R24D03"	9	0.925780709770235	0.236041368156472	0.634212460816074	0.50500200080032
"R26G07"	14	0.937056230796982	0.286256967720442	0.707395467298393	0.504473363155754
"R27E01"	10	0.573084573963204	0.0447386675518323	0.157530516997018	0.498781973203411
"R31B01"	8	0.320211674500644	0.440491482088917	0.0915315633108238	0.477357706688824
"R31H05"	9	0.659487037635396	0.714580310716739	0.648404667867462	0.505128205128205
"R32B05"	10	0.781614879313125	0.53442024854691	0.697828176706684	0.480722566729577
"R33F03"	20	0.585536704279662	0.884454095254839	0.912580839099989	0.451219512195122
"R34C11"	9	0.887553109538641	0.166727018870525	0.552844525409454	0.482340253437584
"R35A08"	8	0.734126373430839	0.463761088463807	0.911359999269408	0.497076023391813
"R37A04"	8	0.141851238920628	0.803820083617329	0.529588502494774	0.496746203904555
"R41F01"	8	0.878951327735973	0.0730338624592708	0.497640553788518	0.484523057485787
"R44E07"	7	0.902683239629434	0.105484832983887	0.703009594976647	0.500237079184448
"R45E04"	11	0.774559029362381	0.173446033161622	0.0475471861289126	0.508470474346563
"R46C04"	8	0.62897299997526	0.601866961801654	0.944498893210409	0.508855154965212
"R49F11"	22	0.513802872608508	0.215550493752082	0.185571925673913	0.444798724591471
"R52B09"	14	0.839796562740479	0.134051701046496	0.630549945434068	0.525368248772504
"R52E07"	10	0.156325261262016	0.797757408784116	0.294312397142967	0.476585496387477
"R53C03"	11	0.809063253174535	0.238125040749838	0.917282355028057	0.504181278661991
"R60D10"	8	0.440870900762139	0.289844129683165	0.465391708399827	0.510826210826211
"R63F09"	12	0.104410265404796	0.428888755952905	0.021026381734505	0.491883810337463
"R65A10"	15	0.205285278603909	0.810925941240798	0.613904228338358	0.501533428746678
"R65E02"	9	0.714215466912271	0.602078133622064	0.893775972717841	0.481953290870488
"R67C09"	15	0.781035297694391	0.0151593218436935	0.0697708308245624	0.468081111528351
"R69C04"	7	0.121870790852699	0.715868222872016	0.0790226027618038	0.531478770131772
"R72D11"	9	0.695521805177335	0.269910285136102	0.298055347487913	0.48896839594514
"R77F09"	13	0.130877920014454	0.587644899855008	0.494296846117741	0.488976963091404
"R81E02"	17	0.0810504800425716	0.893059987276652	0.796199665716051	0.505145167217935
"R81G05"	8	0.588951098141553	0.539834472027804	0.61379481516891	0.515592515592516
"R82A03"	48	0.145602924573195	0.0158066247581539	0.00247078147422172	0.348480355819125
"R82C05"	27	0.18108640925899	0.00393788391599094	0.000290775518902995	0.0939481887563152
"R83A02"	17	0.307618038123488	0.806982506723435	0.790749524100788	0.492169216921692
"R83B04"	5	0.941158601025289	0.158668974464419	0.47154844340546	0.503830288744844
"R84A12"	71	0.00408798576817997	0.00317831185362	2.47493815851031e-11	0.282257119418727
"R87A03"	11	0.926337609982971	0.0032460202284915	0.169372374114626	0.498479402820017
"R88B08"	9	0.574667689666625	0.0664697546402453	0.143013416040229	0.494278448823903
"R91F11"	12	0.784800954110158	0.455727193872206	0.93605885532251	0.499779249448124
"R91G06"	7	0.318993810521934	0.858976314682275	0.527169036081885	0.505330490405117
"R92A10"	15	0.613705617030742	0.522456607100149	0.712331639143662	0.496626420454545
"R92F08"	13	0.185960101890591	0.696738338567545	0.134537756303081	0.459300773952495
"R95D10"	26	0.823135796578265	0.102095793662566	0.326115858499701	0.460237809534199
"R96B12"	20	0.417522962278011	0.349256900252776	0.124235660028801	0.489863794741843
"R96C12"	37	0.929691758552566	0.000215691113489	0.0179382683975733	0.463575534822354
"R99B02"	10	0.665039976855627	0.406314785036198	0.569395218314722	0.488721804511278
