"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"mean"	"sd"	"count"	"totalkernel"	"totalGFP"	"totalWT"
"R01G01"	0.0127661308230359	0.503191489361702	0.484521154803699	0.521852927847475	0.737806299918773	0.891515945735184	0.505703754415937	0.0169215635899564	8	2820	1419	1401
"R02D02"	0.0710754824444777	0.517761394101877	0.499602897692257	0.535873100337912	0.0552227143361204	0.246378263961152	0.518616778842797	0.0287159749167242	8	2984	1545	1439
"R04A02"	0.117270871752742	0.529284164859002	0.511827897000765	0.546669091684203	0.00101675239839061	0.0196572130355518	0.526886106591676	0.0333643398208446	10	3227	1708	1519
"R04G10"	0.0746217147799713	0.518646776771444	0.50245824502144	0.534796254645085	0.0239812006717532	0.154545515440188	0.517431043598781	0.0269131985780151	8	3754	1947	1807
"R06C04"	0.0238324753680981	0.505957836846929	0.490945940395323	0.520958998331721	0.436669016637512	0.682957218491529	0.506577374833207	0.0276531534015367	10	4364	2208	2156
"R08A07"	-0.00901922686684924	0.497745208568207	0.474222374151261	0.521278028462192	0.851118050740397	0.949323979671981	0.494133367289831	0.032414563779853	5	1774	883	891
"R101B03"	-0.0411929832093554	0.489703210175651	0.472467776625722	0.506963159057296	0.242285028849513	0.49791267909082	0.487090028944875	0.0226768544708825	8	3302	1617	1685
"R102H01"	0.0401839778190332	0.510044642857143	0.499000218464343	0.521079270082126	0.074657565271858	0.270633674110485	0.509160918984423	0.0270661208582405	19	8064	4113	3951
"R103E04"	0.0134342910491271	0.50335852225021	0.488991971652846	0.517719529205128	0.646854264991595	0.844782286005347	0.502816472583952	0.0217771357730657	11	4764	2398	2366
"R106E07"	0.0499826408677355	0.512493059411438	0.495966707194991	0.528992142777383	0.138420706112736	0.382304807358986	0.512980364611355	0.0191054220342408	7	3602	1846	1756
"R106F04"	0.000792079249332627	0.50019801980198	0.480472226017268	0.519923197198823	0.98431026627717	0.999999999999996	0.498517921440865	0.0277812395474968	7	2525	1263	1262
"R106G12"	0.0166460337932882	0.504161412358134	0.488413699802561	0.51990087274417	0.604548323453228	0.834852446673505	0.501509024350131	0.0330665213171873	10	3965	1999	1966
"R107C12"	0.0537790028511239	0.513441511261807	0.49800578726468	0.528851638481484	0.0878593972321455	0.299755590556732	0.507691001367192	0.0346371648022041	11	4129	2120	2009
"R12H07"	-0.0242004692964364	0.493950177935943	0.467536366332537	0.520397804895116	0.654036778444954	0.844782286005347	0.489204718360697	0.0300412683228849	5	1405	694	711
"R23D05"	0.0375791442491606	0.509393680614859	0.488900704590789	0.529855134142195	0.368974387573924	0.611443270836789	0.505480438426031	0.0541914944372497	8	2342	1193	1149
"R24D03"	0.130823903727018	0.532659409020218	0.516699348211579	0.548552910438129	6.16760808278549e-05	0.00335520570963865	0.533058291646565	0.0299445400838418	11	3858	2055	1803
"R26G07"	0.0195106991084401	0.504877520052027	0.490276884433001	0.519469841355053	0.512655330635942	0.743350229422116	0.507158743810866	0.0298595205025533	12	4613	2329	2284
"R27E01"	0.0684371615532286	0.517102615694165	0.501372541770441	0.532798868520567	0.0330965295854093	0.159966559662812	0.513860161033879	0.0327628130704303	9	3976	2056	1920
"R31B01"	0.0327398864918032	0.508184240578607	0.488835443259043	0.527508550495754	0.407105813613214	0.655892699710179	0.511150211899515	0.0315812645513109	7	2627	1335	1292
"R31H05"	0.0660964176154948	0.51651809124279	0.493802468434964	0.539165657446102	0.15405715673602	0.388491960464746	0.518748401661267	0.0273871270316769	5	1907	985	922
"R32B05"	0.00844534770070003	0.5021113243762	0.482687763707779	0.521528514626691	0.831349098031956	0.949323979671981	0.500597375449457	0.0202097053159582	6	2605	1308	1297
"R33F03"	0.0100671991177237	0.50251677852349	0.482213076634683	0.522812183453393	0.808111903130636	0.949323979671981	0.502165390778926	0.0237879201469186	8	2384	1198	1186
"R34C11"	0.0899831473787871	0.522480620155039	0.505014933936554	0.539891505987664	0.0116601588820038	0.0845361518945274	0.516501045773601	0.0261181128278579	9	3225	1685	1540
"R35A08"	-1.43982048506075e-16	0.5	0.484975192849697	0.515024807150303	0.999999999999996	0.999999999999996	0.500042835470557	0.032024276260593	10	4354	2177	2177
"R37A04"	0.0546630459321263	0.513662359669562	0.499227029257601	0.528074933430165	0.0635907782235154	0.263447509783135	0.512518878964661	0.0176415644413134	10	4721	2425	2296
"R41F01"	0.0398748005114794	0.509967379485321	0.49108562926809	0.528820732572515	0.300833717369311	0.545261112731875	0.50936035494246	0.0112181617725059	7	2759	1407	1352
"R44E07"	0.0499932924477074	0.512495720643615	0.494143616780363	0.53081419675545	0.182012388990663	0.422268742458339	0.51106250811994	0.0129460485265452	6	2921	1497	1424
"R45E04"	0.0575365285644595	0.514380165289256	0.496345677755055	0.53237728308929	0.118076392988815	0.342421539667563	0.512055877946857	0.0257175860312668	7	3025	1556	1469
"R46C04"	0.0637725310579888	0.515937731653076	0.496840962809008	0.534988068161822	0.101875230886002	0.310987546915163	0.515248663674516	0.0219487366470625	7	2698	1392	1306
"R49F11"	0.0358422961157139	0.508959614870286	0.492740148903266	0.525160240566475	0.278941722991664	0.521890965597308	0.507661948740428	0.0206533223484216	9	3739	1903	1836
"R52B09"	0.0571307325621788	0.514278799612778	0.498848599850639	0.52968182787118	0.0697164998974649	0.269570466270197	0.514783754309809	0.028413985703125	9	4132	2125	2007
"R52E07"	0.00462963789874223	0.501157407407407	0.484293235387039	0.518018946488708	0.893028108500678	0.977276043264893	0.503354303515655	0.0343800164348145	8	3456	1732	1724
"R53C03"	1.57859836313889e-16	0.5	0.483408322416288	0.516591677583712	0.999999999999996	0.999999999999996	0.499100218432449	0.024211988514646	10	3570	1785	1785
