"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"mean"	"sd"	"count"	"totalkernel"	"totalGFP"	"totalWT"
"R01G01"	-0.0251829288541771	0.493704600484262	0.465113924348105	0.522336510755288	0.666778206909451	0.947440559331344	0.494972226308136	0.0394633769728068	11	4130	2039	2091
"R02D02"	-0.0363452384708639	0.490914690483523	0.45869689643862	0.523208130052264	0.581518946269729	0.886701936578647	0.492820916311581	0.0121563318752927	9	3247	1594	1653
"R04A02"	-0.233031680980445	0.442004291303799	0.421573135420754	0.462633667216941	4.16184444684831e-08	4.82773955834404e-07	0.445797926979317	0.0410168778937153	22	7923	3502	4421
"R04G10"	-0.00303336936332889	0.499241658240647	0.470009642005013	0.52847885949736	0.959498332706446	0.984992971701402	0.508075482059235	0.0411612910614704	10	3956	1975	1981
"R06C04"	-0.0330267375178869	0.491744066047472	0.470865400428877	0.512651570623721	0.438995159113308	0.886701936578647	0.490072192440586	0.0364300163894389	20	7752	3812	3940
"R08A07"	-0.00124843961283802	0.499687890137328	0.46721314406897	0.532165269651538	0.984992971701402	0.984992971701402	0.499391678041858	0.0493244929872628	8	3204	1601	1603
"R101B03"	-0.0553949036386193	0.486154814348647	0.453617863170134	0.518809538264282	0.406032312735006	0.886701936578647	0.490728180072499	0.0452531207154087	9	3178	1545	1633
"R102H01"	-0.396860260914648	0.402066929133858	0.384295435918931	0.420099512390305	0	0	0.417776297810296	0.0968868782226932	30	10160	4085	6075
"R103E04"	-0.0402819714334182	0.489930868650436	0.46740389674223	0.512498809326799	0.381878071408843	0.886701936578647	0.483908106050318	0.0613735828915037	17	6654	3260	3394
"R106E07"	-0.0835051343545622	0.479135839005623	0.447620494764403	0.510818133263382	0.196735494443136	0.713166167356369	0.478814386799416	0.0211206781660673	7	3379	1619	1760
"R106F04"	-0.0519103878967964	0.487025316455696	0.454391016922565	0.519770610753229	0.437478487944161	0.886701936578647	0.48725591226299	0.0259060309578322	9	3160	1539	1621
"R106G12"	0.0475956587516697	0.511896668932699	0.477964494014883	0.545719553043892	0.492107139279357	0.886701936578647	0.521902823257024	0.0361785617069043	7	2942	1506	1436
"R107C12"	-0.029750196525254	0.492562999385372	0.472178968370201	0.512971787010502	0.475136799797264	0.886701936578647	0.492967316961105	0.0301614621535452	21	8135	4007	4128
"R12H07"	-0.00789893522453408	0.498025276461295	0.461517362559921	0.534554258573346	0.915745310863709	0.984992971701402	0.504172495243183	0.0432765529513931	7	2532	1261	1271
"R23D05"	0.00321469852047481	0.500803673938003	0.47293504738968	0.528667307914559	0.954969204441464	0.984992971701402	0.50128044997138	0.0224125708481176	11	4355	2181	2174
"R24D03"	0.0305700660846777	0.50764192139738	0.472549384791333	0.542659314301729	0.669742464354916	0.947440559331344	0.51525753179812	0.0579344872287842	9	2748	1395	1353
"R26G07"	0.0170374491534071	0.504259259259259	0.479219452934459	0.529277718080369	0.738955959575332	0.984992971701402	0.503216788245686	0.033837116835645	14	5400	2723	2677
"R27E01"	-0.0043763745997986	0.49890590809628	0.468502423365216	0.529317485802098	0.943848136304814	0.984992971701402	0.500557426185936	0.0340261966851793	10	3656	1824	1832
"R31B01"	-0.0747298803009749	0.481326219512195	0.445572144212896	0.517272563563705	0.30857562182095	0.886701936578647	0.484924940392258	0.0331764287771484	8	2624	1263	1361
"R31H05"	0.010104097849159	0.502526002971768	0.470824492394033	0.534207217257403	0.876025524673304	0.984992971701402	0.503089714080535	0.0239083682607857	9	3365	1691	1674
"R32B05"	-0.0666748993555438	0.483337447543816	0.45451846331676	0.512267693264948	0.258925471597035	0.883392785448709	0.482486525127346	0.0350582286001382	10	4051	1958	2093
"R33F03"	-0.20033907549559	0.450082077301895	0.427821995091144	0.472543841697657	1.40313659497959e-05	0.000116259889298309	0.452630550196813	0.0333067525557493	20	6701	3016	3685
"R34C11"	-0.0834225497591012	0.479156449239823	0.450455496502406	0.507995662051677	0.156553458502161	0.605340039541689	0.477464593678659	0.0310968702945337	9	4078	1954	2124
"R35A08"	-0.0132015118585353	0.496699669966997	0.463322278245904	0.530106502784532	0.84662981506997	0.984992971701402	0.49554835416681	0.0205157460866456	8	3030	1505	1525
"R37A04"	-0.00900906994236547	0.497747747747748	0.466908198266722	0.528604443641546	0.886357115294103	0.984992971701402	0.49811957097953	0.0371965374476111	8	3552	1768	1784
"R41F01"	-0.0420932709115408	0.489478235802825	0.458311771662769	0.520726713814929	0.509408634988043	0.886701936578647	0.490082963083526	0.0271539664439287	8	3469	1698	1771
